well,sal,las,chlor,replicate
A01,0,0.3,-,1
A02,5,0.3,-,1
A03,7.5,0.3,-,1
A04,10,0.3,-,1
A05,15,0.3,-,1
A06,30,0.3,-,1
A07,0,0.3,+,1
A08,5,0.3,+,1
A09,7.5,0.3,+,1
A10,10,0.3,+,1
A11,15,0.3,+,1
A12,30,0.3,+,1
B01,0,1,-,1
B02,5,1,-,1
B03,7.5,1,-,1
B04,10,1,-,1
B05,15,1,-,1
B06,30,1,-,1
B07,0,1,+,1
B08,5,1,+,1
B09,7.5,1,+,1
B10,10,1,+,1
B11,15,1,+,1
B12,30,1,+,1
C01,0,3,-,1
C02,5,3,-,1
C03,7.5,3,-,1
C04,10,3,-,1
C05,15,3,-,1
C06,30,3,-,1
C07,0,3,+,1
C08,5,3,+,1
C09,7.5,3,+,1
C10,10,3,+,1
C11,15,3,+,1
C12,30,3,+,1
D01,0,10,-,1
D02,5,10,-,1
D03,7.5,10,-,1
D04,10,10,-,1
D05,15,10,-,1
D06,30,10,-,1
D07,0,10,+,1
D08,5,10,+,1
D09,7.5,10,+,1
D10,10,10,+,1
D11,15,10,+,1
D12,30,10,+,1
E01,0,0.3,-,2
E02,5,0.3,-,2
E03,7.5,0.3,-,2
E04,10,0.3,-,2
E05,15,0.3,-,2
E06,30,0.3,-,2
E07,0,0.3,+,2
E08,5,0.3,+,2
E09,7.5,0.3,+,2
E10,10,0.3,+,2
E11,15,0.3,+,2
E12,30,0.3,+,2
F01,0,1,-,2
F02,5,1,-,2
F03,7.5,1,-,2
F04,10,1,-,2
F05,15,1,-,2
F06,30,1,-,2
F07,0,1,+,2
F08,5,1,+,2
F09,7.5,1,+,2
F10,10,1,+,2
F11,15,1,+,2
F12,30,1,+,2
G01,0,3,-,2
G02,5,3,-,2
G03,7.5,3,-,2
G04,10,3,-,2
G05,15,3,-,2
G06,30,3,-,2
G07,0,3,+,2
G08,5,3,+,2
G09,7.5,3,+,2
G10,10,3,+,2
G11,15,3,+,2
G12,30,3,+,2
H01,0,10,-,2
H02,5,10,-,2
H03,7.5,10,-,2
H04,10,10,-,2
H05,15,10,-,2
H06,30,10,-,2
H07,0,10,+,2
H08,5,10,+,2
H09,7.5,10,+,2
H10,10,10,+,2
H11,15,10,+,2
H12,30,10,+,2