,plate,strain,sal,las,iptg,chlor,replicate,Measurement
0,1,HCA_1,0.0,0,0,-,1,13.0
1,1,HCA_1,0.0,0,0,-,2,10.0
2,1,HCA_2,0.0,0,0,-,1,9.0
3,1,HCA_2,0.0,0,0,-,2,12.0
4,1,HCA_3,0.0,0,0,-,1,12.0
5,1,HCA_3,0.0,0,0,-,2,11.0
6,1,LNL,0.0,0,0,-,1,12.0
7,1,LNL,0.0,0,0,-,2,10.0
8,1,ctrl,0.0,0,0,-,1,763.0
9,1,ctrl,0.0,0,0,-,2,751.0
10,1,ctrl,0.0,0,10,-,1,6209.0
11,1,ctrl,0.0,0,10,-,2,6261.0
12,1,ctrl,0.0,0,30,-,1,9505.0
13,1,ctrl,0.0,0,30,-,2,9094.0
14,1,ctrl,0.0,0,100,-,1,2542.0
15,1,ctrl,0.0,0,100,-,2,2747.0
16,1,stem,5.0,3,0,+,1,120.0
17,1,stem,5.0,3,0,+,2,129.0
18,1,stem,5.0,3,0,-,1,139.0
19,1,stem,5.0,3,0,-,2,136.0
20,1,stem,5.0,3,10,+,1,191.0
21,1,stem,5.0,3,10,+,2,215.0
22,1,stem,5.0,3,10,-,1,322.0
23,1,stem,5.0,3,10,-,2,351.0
24,1,stem,5.0,3,30,+,1,289.0
25,1,stem,5.0,3,30,+,2,383.0
26,1,stem,5.0,3,30,-,1,451.0
27,1,stem,5.0,3,30,-,2,525.0
28,1,stem,5.0,3,100,+,1,270.0
29,1,stem,5.0,3,100,+,2,261.0
30,1,stem,5.0,3,100,-,1,464.0
31,1,stem,5.0,3,100,-,2,440.0
32,1,stem,7.5,3,0,+,1,199.0
33,1,stem,7.5,3,0,+,2,210.0
34,1,stem,7.5,3,0,-,1,266.0
35,1,stem,7.5,3,0,-,2,260.0
36,1,stem,7.5,3,10,+,1,1004.0
37,1,stem,7.5,3,10,+,2,1032.0
38,1,stem,7.5,3,10,-,1,1490.0
39,1,stem,7.5,3,10,-,2,1582.0
40,1,stem,7.5,3,30,+,1,2066.0
41,1,stem,7.5,3,30,+,2,2727.0
42,1,stem,7.5,3,30,-,1,3061.0
43,1,stem,7.5,3,30,-,2,3140.0
44,1,stem,7.5,3,100,+,1,2175.0
45,1,stem,7.5,3,100,+,2,2053.0
46,1,stem,7.5,3,100,-,1,3131.0
47,1,stem,7.5,3,100,-,2,3139.0
48,1,stem,10.0,3,0,+,1,344.0
49,1,stem,10.0,3,0,+,2,342.0
50,1,stem,10.0,3,0,-,1,433.0
51,1,stem,10.0,3,0,-,2,429.0
52,1,stem,10.0,3,10,+,1,2394.0
53,1,stem,10.0,3,10,+,2,2233.0
54,1,stem,10.0,3,10,-,1,3073.0
55,1,stem,10.0,3,10,-,2,3232.0
56,1,stem,10.0,3,30,+,1,5414.0
57,1,stem,10.0,3,30,+,2,7059.0
58,1,stem,10.0,3,30,-,1,6926.0
59,1,stem,10.0,3,30,-,2,6956.0
60,1,stem,10.0,3,100,+,1,6625.0
61,1,stem,10.0,3,100,+,2,5430.0
62,1,stem,10.0,3,100,-,1,7389.0
63,1,stem,10.0,3,100,-,2,7272.0
64,1,stem,12.5,3,0,+,1,467.0
65,1,stem,12.5,3,0,+,2,517.0
66,1,stem,12.5,3,0,-,1,553.0
67,1,stem,12.5,3,0,-,2,540.0
68,1,stem,12.5,3,10,+,1,3624.0
69,1,stem,12.5,3,10,+,2,3206.0
70,1,stem,12.5,3,10,-,1,4081.0
71,1,stem,12.5,3,10,-,2,4204.0
72,1,stem,12.5,3,30,+,1,8018.0
73,1,stem,12.5,3,30,+,2,8900.0
74,1,stem,12.5,3,30,-,1,8796.0
75,1,stem,12.5,3,30,-,2,8709.0
76,1,stem,12.5,3,100,+,1,8434.0
77,1,stem,12.5,3,100,+,2,8055.0
78,1,stem,12.5,3,100,-,1,9795.0
79,1,stem,12.5,3,100,-,2,9662.0
80,1,stem,15.0,3,0,+,1,573.0
81,1,stem,15.0,3,0,+,2,557.0
82,1,stem,15.0,3,0,-,1,624.0
83,1,stem,15.0,3,0,-,2,640.0
84,1,stem,15.0,3,10,+,1,4333.0
85,1,stem,15.0,3,10,+,2,4513.0
86,1,stem,15.0,3,10,-,1,5013.0
87,1,stem,15.0,3,10,-,2,4884.0
88,1,stem,15.0,3,30,+,1,9556.0
89,1,stem,15.0,3,30,+,2,9294.0
90,1,stem,15.0,3,30,-,1,10320.0
91,1,stem,15.0,3,30,-,2,10457.0
92,1,stem,15.0,3,100,+,1,10402.0
93,1,stem,15.0,3,100,+,2,10214.0
94,1,stem,15.0,3,100,-,1,11403.0
95,1,stem,15.0,3,100,-,2,11162.0
96,2,HCA_1,0.0,0,0,-,1,12.0
97,2,HCA_1,0.0,0,0,-,2,8.0
98,2,HCA_2,0.0,0,0,-,1,10.0
99,2,HCA_2,0.0,0,0,-,2,12.0
100,2,HCA_3,0.0,0,0,-,1,12.0
101,2,HCA_3,0.0,0,0,-,2,17.0
102,2,LNL,0.0,0,0,-,1,9.0
103,2,LNL,0.0,0,0,-,2,11.0
104,2,ctrl,0.0,0,0,-,1,828.0
105,2,ctrl,0.0,0,0,-,2,839.0
106,2,ctrl,0.0,0,10,-,1,6428.0
107,2,ctrl,0.0,0,10,-,2,6430.0
108,2,ctrl,0.0,0,30,-,1,1030.0
109,2,ctrl,0.0,0,30,-,2,814.0
110,2,ctrl,0.0,0,100,-,1,411.0
111,2,ctrl,0.0,0,100,-,2,342.0
112,2,stem,5.0,3,0,+,1,359.0
113,2,stem,5.0,3,0,+,2,363.0
114,2,stem,5.0,3,0,-,1,458.0
115,2,stem,5.0,3,0,-,2,415.0
116,2,stem,5.0,3,10,+,1,2091.0
117,2,stem,5.0,3,10,+,2,1975.0
118,2,stem,5.0,3,10,-,1,2396.0
119,2,stem,5.0,3,10,-,2,1916.0
120,2,stem,5.0,3,30,+,1,2682.0
121,2,stem,5.0,3,30,+,2,3148.0
122,2,stem,5.0,3,30,-,1,3328.0
123,2,stem,5.0,3,30,-,2,2056.0
124,2,stem,5.0,3,100,+,1,1567.0
125,2,stem,5.0,3,100,+,2,1302.0
126,2,stem,5.0,3,100,-,1,1843.0
127,2,stem,5.0,3,100,-,2,2240.0
128,2,stem,7.5,3,0,+,1,767.0
129,2,stem,7.5,3,0,+,2,778.0
130,2,stem,7.5,3,0,-,1,806.0
131,2,stem,7.5,3,0,-,2,822.0
132,2,stem,7.5,3,10,+,1,5512.0
133,2,stem,7.5,3,10,+,2,5697.0
134,2,stem,7.5,3,10,-,1,5544.0
135,2,stem,7.5,3,10,-,2,5765.0
136,2,stem,7.5,3,30,+,1,8241.0
137,2,stem,7.5,3,30,+,2,8882.0
138,2,stem,7.5,3,30,-,1,9242.0
139,2,stem,7.5,3,30,-,2,9057.0
140,2,stem,7.5,3,100,+,1,6617.0
141,2,stem,7.5,3,100,+,2,6594.0
142,2,stem,7.5,3,100,-,1,6618.0
143,2,stem,7.5,3,100,-,2,6104.0
144,2,stem,10.0,3,0,+,1,852.0
145,2,stem,10.0,3,0,+,2,874.0
146,2,stem,10.0,3,0,-,1,851.0
147,2,stem,10.0,3,0,-,2,898.0
148,2,stem,10.0,3,10,+,1,6176.0
149,2,stem,10.0,3,10,+,2,6240.0
150,2,stem,10.0,3,10,-,1,6225.0
151,2,stem,10.0,3,10,-,2,6073.0
152,2,stem,10.0,3,30,+,1,9751.0
153,2,stem,10.0,3,30,+,2,8936.0
154,2,stem,10.0,3,30,-,1,9380.0
155,2,stem,10.0,3,30,-,2,9134.0
156,2,stem,10.0,3,100,+,1,6728.0
157,2,stem,10.0,3,100,+,2,9229.0
158,2,stem,10.0,3,100,-,1,3666.0
159,2,stem,10.0,3,100,-,2,4981.0
160,2,stem,12.5,3,0,+,1,860.0
161,2,stem,12.5,3,0,+,2,854.0
162,2,stem,12.5,3,0,-,1,853.0
163,2,stem,12.5,3,0,-,2,914.0
164,2,stem,12.5,3,10,+,1,6123.0
165,2,stem,12.5,3,10,+,2,6259.0
166,2,stem,12.5,3,10,-,1,6056.0
167,2,stem,12.5,3,10,-,2,5955.0
168,2,stem,12.5,3,30,+,1,8675.0
169,2,stem,12.5,3,30,+,2,7572.0
170,2,stem,12.5,3,30,-,1,8225.0
171,2,stem,12.5,3,30,-,2,8184.0
172,2,stem,12.5,3,100,+,1,2287.0
173,2,stem,12.5,3,100,+,2,2972.0
174,2,stem,12.5,3,100,-,1,1807.0
175,2,stem,12.5,3,100,-,2,1965.0
176,2,stem,15.0,3,0,+,1,834.0
177,2,stem,15.0,3,0,+,2,859.0
178,2,stem,15.0,3,0,-,1,862.0
179,2,stem,15.0,3,0,-,2,921.0
180,2,stem,15.0,3,10,+,1,6023.0
181,2,stem,15.0,3,10,+,2,5906.0
182,2,stem,15.0,3,10,-,1,6211.0
183,2,stem,15.0,3,10,-,2,5999.0
184,2,stem,15.0,3,30,+,1,7362.0
185,2,stem,15.0,3,30,+,2,6331.0
186,2,stem,15.0,3,30,-,1,5051.0
187,2,stem,15.0,3,30,-,2,4776.0
188,2,stem,15.0,3,100,+,1,1194.0
189,2,stem,15.0,3,100,+,2,1186.0
190,2,stem,15.0,3,100,-,1,1799.0
191,2,stem,15.0,3,100,-,2,1748.0
192,3,HCA_1,0.0,0,0,-,1,13.0
193,3,HCA_1,0.0,0,0,-,2,11.0
194,3,HCA_2,0.0,0,0,-,1,18.0
195,3,HCA_2,0.0,0,0,-,2,17.0
196,3,HCA_3,0.0,0,0,-,1,11.0
197,3,HCA_3,0.0,0,0,-,2,11.0
198,3,LNL,0.0,0,0,-,1,10.0
199,3,LNL,0.0,0,0,-,2,10.0
200,3,ctrl,0.0,0,0,-,1,862.0
201,3,ctrl,0.0,0,0,-,2,839.0
202,3,ctrl,0.0,0,10,-,1,6296.0
203,3,ctrl,0.0,0,10,-,2,6239.0
204,3,ctrl,0.0,0,30,-,1,150.0
205,3,ctrl,0.0,0,30,-,2,150.0
206,3,ctrl,0.0,0,100,-,1,247.0
207,3,ctrl,0.0,0,100,-,2,208.0
208,3,stem,5.0,3,0,+,1,515.0
209,3,stem,5.0,3,0,+,2,648.0
210,3,stem,5.0,3,0,-,1,647.0
211,3,stem,5.0,3,0,-,2,623.0
212,3,stem,5.0,3,10,+,1,3950.0
213,3,stem,5.0,3,10,+,2,2621.0
214,3,stem,5.0,3,10,-,1,3561.0
215,3,stem,5.0,3,10,-,2,2901.0
216,3,stem,5.0,3,30,+,1,3098.0
217,3,stem,5.0,3,30,+,2,4158.0
218,3,stem,5.0,3,30,-,1,3518.0
219,3,stem,5.0,3,30,-,2,1847.0
220,3,stem,5.0,3,100,+,1,1312.0
221,3,stem,5.0,3,100,+,2,1409.0
222,3,stem,5.0,3,100,-,1,1690.0
223,3,stem,5.0,3,100,-,2,2006.0
224,3,stem,7.5,3,0,+,1,949.0
225,3,stem,7.5,3,0,+,2,936.0
226,3,stem,7.5,3,0,-,1,886.0
227,3,stem,7.5,3,0,-,2,960.0
228,3,stem,7.5,3,10,+,1,6370.0
229,3,stem,7.5,3,10,+,2,6262.0
230,3,stem,7.5,3,10,-,1,6453.0
231,3,stem,7.5,3,10,-,2,6499.0
232,3,stem,7.5,3,30,+,1,8046.0
233,3,stem,7.5,3,30,+,2,7732.0
234,3,stem,7.5,3,30,-,1,6220.0
235,3,stem,7.5,3,30,-,2,5736.0
236,3,stem,7.5,3,100,+,1,5109.0
237,3,stem,7.5,3,100,+,2,5165.0
238,3,stem,7.5,3,100,-,1,4196.0
239,3,stem,7.5,3,100,-,2,4434.0
240,3,stem,10.0,3,0,+,1,946.0
241,3,stem,10.0,3,0,+,2,992.0
242,3,stem,10.0,3,0,-,1,910.0
243,3,stem,10.0,3,0,-,2,973.0
244,3,stem,10.0,3,10,+,1,6150.0
245,3,stem,10.0,3,10,+,2,6401.0
246,3,stem,10.0,3,10,-,1,6449.0
247,3,stem,10.0,3,10,-,2,6411.0
248,3,stem,10.0,3,30,+,1,2471.0
249,3,stem,10.0,3,30,+,2,691.0
250,3,stem,10.0,3,30,-,1,1073.0
251,3,stem,10.0,3,30,-,2,982.0
252,3,stem,10.0,3,100,+,1,2326.0
253,3,stem,10.0,3,100,+,2,1578.0
254,3,stem,10.0,3,100,-,1,903.0
255,3,stem,10.0,3,100,-,2,1151.0
256,3,stem,12.5,3,0,+,1,927.0
257,3,stem,12.5,3,0,+,2,957.0
258,3,stem,12.5,3,0,-,1,927.0
259,3,stem,12.5,3,0,-,2,974.0
260,3,stem,12.5,3,10,+,1,5936.0
261,3,stem,12.5,3,10,+,2,6009.0
262,3,stem,12.5,3,10,-,1,6632.0
263,3,stem,12.5,3,10,-,2,6480.0
264,3,stem,12.5,3,30,+,1,446.0
265,3,stem,12.5,3,30,+,2,314.0
266,3,stem,12.5,3,30,-,1,812.0
267,3,stem,12.5,3,30,-,2,774.0
268,3,stem,12.5,3,100,+,1,436.0
269,3,stem,12.5,3,100,+,2,464.0
270,3,stem,12.5,3,100,-,1,747.0
271,3,stem,12.5,3,100,-,2,630.0
272,3,stem,15.0,3,0,+,1,922.0
273,3,stem,15.0,3,0,+,2,912.0
274,3,stem,15.0,3,0,-,1,936.0
275,3,stem,15.0,3,0,-,2,953.0
276,3,stem,15.0,3,10,+,1,5301.0
277,3,stem,15.0,3,10,+,2,5273.0
278,3,stem,15.0,3,10,-,1,6720.0
279,3,stem,15.0,3,10,-,2,6460.0
280,3,stem,15.0,3,30,+,1,303.0
281,3,stem,15.0,3,30,+,2,258.0
282,3,stem,15.0,3,30,-,1,374.0
283,3,stem,15.0,3,30,-,2,326.0
284,3,stem,15.0,3,100,+,1,178.0
285,3,stem,15.0,3,100,+,2,173.0
286,3,stem,15.0,3,100,-,1,866.0
287,3,stem,15.0,3,100,-,2,800.0
288,4,HCA_1,0.0,0,0,-,1,12.0
289,4,HCA_1,0.0,0,0,-,2,10.0
290,4,HCA_2,0.0,0,0,-,1,7.0
291,4,HCA_2,0.0,0,0,-,2,15.0
292,4,HCA_3,0.0,0,0,-,1,12.0
293,4,HCA_3,0.0,0,0,-,2,14.0
294,4,LNL,0.0,0,0,-,1,14.0
295,4,LNL,0.0,0,0,-,2,11.0
296,4,ctrl,0.0,0,0,-,1,820.0
297,4,ctrl,0.0,0,0,-,2,823.0
298,4,ctrl,0.0,0,10,-,1,6093.0
299,4,ctrl,0.0,0,10,-,2,6105.0
300,4,ctrl,0.0,0,30,-,1,129.0
301,4,ctrl,0.0,0,30,-,2,129.0
302,4,ctrl,0.0,0,100,-,1,167.0
303,4,ctrl,0.0,0,100,-,2,159.0
304,4,stem,5.0,3,0,+,1,549.0
305,4,stem,5.0,3,0,+,2,664.0
306,4,stem,5.0,3,0,-,1,720.0
307,4,stem,5.0,3,0,-,2,677.0
308,4,stem,5.0,3,10,+,1,3752.0
309,4,stem,5.0,3,10,+,2,2574.0
310,4,stem,5.0,3,10,-,1,3602.0
311,4,stem,5.0,3,10,-,2,3443.0
312,4,stem,5.0,3,30,+,1,3054.0
313,4,stem,5.0,3,30,+,2,3204.0
314,4,stem,5.0,3,30,-,1,2597.0
315,4,stem,5.0,3,30,-,2,2405.0
316,4,stem,5.0,3,100,+,1,1147.0
317,4,stem,5.0,3,100,+,2,1694.0
318,4,stem,5.0,3,100,-,1,1119.0
319,4,stem,5.0,3,100,-,2,1499.0
320,4,stem,7.5,3,0,+,1,819.0
321,4,stem,7.5,3,0,+,2,835.0
322,4,stem,7.5,3,0,-,1,863.0
323,4,stem,7.5,3,0,-,2,884.0
324,4,stem,7.5,3,10,+,1,4909.0
325,4,stem,7.5,3,10,+,2,4870.0
326,4,stem,7.5,3,10,-,1,6180.0
327,4,stem,7.5,3,10,-,2,6298.0
328,4,stem,7.5,3,30,+,1,5841.0
329,4,stem,7.5,3,30,+,2,2931.0
330,4,stem,7.5,3,30,-,1,767.0
331,4,stem,7.5,3,30,-,2,847.0
332,4,stem,7.5,3,100,+,1,4648.0
333,4,stem,7.5,3,100,+,2,6791.0
334,4,stem,7.5,3,100,-,1,2208.0
335,4,stem,7.5,3,100,-,2,4249.0
336,4,stem,10.0,3,0,+,1,556.0
337,4,stem,10.0,3,0,+,2,598.0
338,4,stem,10.0,3,0,-,1,882.0
339,4,stem,10.0,3,0,-,2,893.0
340,4,stem,10.0,3,10,+,1,770.0
341,4,stem,10.0,3,10,+,2,1000.0
342,4,stem,10.0,3,10,-,1,6144.0
343,4,stem,10.0,3,10,-,2,6188.0
344,4,stem,10.0,3,30,+,1,891.0
345,4,stem,10.0,3,30,+,2,222.0
346,4,stem,10.0,3,30,-,1,160.0
347,4,stem,10.0,3,30,-,2,160.0
348,4,stem,10.0,3,100,+,1,294.0
349,4,stem,10.0,3,100,+,2,214.0
350,4,stem,10.0,3,100,-,1,310.0
351,4,stem,10.0,3,100,-,2,293.0
352,4,stem,12.5,3,0,+,1,268.0
353,4,stem,12.5,3,0,+,2,236.0
354,4,stem,12.5,3,0,-,1,881.0
355,4,stem,12.5,3,0,-,2,888.0
356,4,stem,12.5,3,10,+,1,492.0
357,4,stem,12.5,3,10,+,2,608.0
358,4,stem,12.5,3,10,-,1,6305.0
359,4,stem,12.5,3,10,-,2,6386.0
360,4,stem,12.5,3,30,+,1,168.0
361,4,stem,12.5,3,30,+,2,174.0
362,4,stem,12.5,3,30,-,1,143.0
363,4,stem,12.5,3,30,-,2,144.0
364,4,stem,12.5,3,100,+,1,214.0
365,4,stem,12.5,3,100,+,2,146.0
366,4,stem,12.5,3,100,-,1,379.0
367,4,stem,12.5,3,100,-,2,336.0
368,4,stem,15.0,3,0,+,1,250.0
369,4,stem,15.0,3,0,+,2,257.0
370,4,stem,15.0,3,0,-,1,878.0
371,4,stem,15.0,3,0,-,2,887.0
372,4,stem,15.0,3,10,+,1,485.0
373,4,stem,15.0,3,10,+,2,470.0
374,4,stem,15.0,3,10,-,1,6175.0
