,fraction,mean,well,strain,sal,las,iptg,chlor,replicate,condition,plate
0,0.0,,A01,stem,5.0,3,0,-,1,5.0 sal,1
1,0.06987259396987049,2.113696808156383,B01,stem,5.0,3,10,-,1,5.0 sal,1
2,0.0799388353226012,2.2436100785252213,C01,stem,5.0,3,30,-,1,5.0 sal,1
3,0.06711324835681737,2.275326384395615,D01,stem,5.0,3,100,-,1,5.0 sal,1
4,0.0,,E01,stem,5.0,3,0,-,2,5.0 sal,1
5,0.08042677980907219,2.2021040362845703,F01,stem,5.0,3,10,-,2,5.0 sal,1
6,0.10405303348158093,2.4051080182183866,G01,stem,5.0,3,30,-,2,5.0 sal,1
7,0.07528913436182803,2.348677495160225,H01,stem,5.0,3,100,-,2,5.0 sal,1
8,0.0,,A02,stem,7.5,3,0,-,1,7.5 sal,1
9,0.5794432094844925,2.9851493347714175,B02,stem,7.5,3,10,-,1,7.5 sal,1
10,0.6291996257548694,3.2959823078454353,C02,stem,7.5,3,30,-,1,7.5 sal,1
11,0.5356810883893866,3.330923649213947,D02,stem,7.5,3,100,-,1,7.5 sal,1
12,0.0,,E02,stem,7.5,3,0,-,2,7.5 sal,1
13,0.6164213363657423,2.9942702526477207,F02,stem,7.5,3,10,-,2,7.5 sal,1
14,0.6455602848834759,3.3341181594212563,G02,stem,7.5,3,30,-,2,7.5 sal,1
15,0.5692670887434274,3.306422742853313,H02,stem,7.5,3,100,-,2,7.5 sal,1
16,0.0,,A03,stem,10.0,3,0,-,1,10.0 sal,1
17,1.0,3.2612016211647097,B03,stem,10.0,3,10,-,1,10.0 sal,1
18,0.9279869067103109,3.693248010264463,C03,stem,10.0,3,30,-,1,10.0 sal,1
19,0.8657729160669491,3.754243920489889,D03,stem,10.0,3,100,-,1,10.0 sal,1
20,0.0,,E03,stem,10.0,3,0,-,2,10.0 sal,1
21,1.0,3.232535452350231,F03,stem,10.0,3,10,-,2,10.0 sal,1
22,0.92971044045677,3.7157176247437027,G03,stem,10.0,3,30,-,2,10.0 sal,1
23,0.8805216746332619,3.714898984532495,H03,stem,10.0,3,100,-,2,10.0 sal,1
24,0.0,,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,1
25,0.0,,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,1
26,0.05957825466134139,2.072524802498211,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
27,0.040355308928275636,1.9531317291446415,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
28,0.0,,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,1
29,0.04179406660606561,1.7885325095527906,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
30,0.09015157859475756,2.2094061725897594,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
31,0.03667023014704399,1.9868853077437385,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
32,0.0,,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,1
33,0.4818331698562097,2.744880457950215,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
34,0.5522161375887739,3.125963621040984,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
35,0.45113609390846515,3.12531638734337,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,1
36,0.0,,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,1
37,0.4906548902237385,2.7584618427148646,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,1
38,0.6499240890688259,3.239843023976609,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,1
39,0.3830386672655261,3.0985813156774915,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,1
40,0.0,,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,1
41,1.0,3.0571269217337873,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,1
42,0.8972150445018662,3.589390442572642,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,1
43,0.8585962388243757,3.6787233543552893,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,1
44,0.0,,E08,stem,10.0,3,0,+,2,10.0 sal +chlor,1
45,0.8538530943690276,3.149964017059881,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,1
46,0.9453461344113189,3.6933538203178533,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,1
47,0.8057683547973001,3.5794482592980583,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,1
48,1.0,2.6258483837440574,A11,ctrl,0.0,0,0,-,1,naive,1
49,0.9810261999919261,3.658761748842087,B11,ctrl,0.0,0,10,-,1,naive,1
50,0.9468944674027016,4.067522552074596,C11,ctrl,0.0,0,30,-,1,naive,1
51,0.10537086626172903,2.771091558297146,D11,ctrl,0.0,0,100,-,1,naive,1
52,1.0,2.631371181273313,E11,ctrl,0.0,0,0,-,2,naive,1
53,0.9814347694480879,3.6674829332083814,F11,ctrl,0.0,0,10,-,2,naive,1
54,0.9252838231075045,4.179619813450511,G11,ctrl,0.0,0,30,-,2,naive,1
55,0.07846370311744273,2.580716453564547,H11,ctrl,0.0,0,100,-,2,naive,1
0,0.0,,A01,stem,5.0,3,0,-,1,5.0 sal,2
1,0.43010410703305557,3.267373002962263,B01,stem,5.0,3,10,-,1,5.0 sal,2
2,0.2981489689524895,3.368474489645498,C01,stem,5.0,3,30,-,1,5.0 sal,2
3,0.22608533011907977,2.9551541195990434,D01,stem,5.0,3,100,-,1,5.0 sal,2
4,0.0,,E01,stem,5.0,3,0,-,2,5.0 sal,2
5,0.3522684190572476,3.172771377364878,F01,stem,5.0,3,10,-,2,5.0 sal,2
6,0.15888105431041719,3.1169379470640726,G01,stem,5.0,3,30,-,2,5.0 sal,2
7,0.2749554367201426,3.0621787903767084,H01,stem,5.0,3,100,-,2,5.0 sal,2
8,1.0,2.610323209019964,A02,stem,7.5,3,0,-,1,7.5 sal,2
9,0.905157763262966,3.6496371205501474,B02,stem,7.5,3,10,-,1,7.5 sal,2
10,1.0,4.037153523216241,C02,stem,7.5,3,30,-,1,7.5 sal,2
11,0.6938394784832415,3.5983092655113267,D02,stem,7.5,3,100,-,1,7.5 sal,2
12,1.0,2.7123680454004178,E02,stem,7.5,3,0,-,2,7.5 sal,2
13,0.9184521384928717,3.6535432174767446,F02,stem,7.5,3,10,-,2,7.5 sal,2
14,0.875956964661209,4.01763246933326,G02,stem,7.5,3,30,-,2,7.5 sal,2
15,0.6893889998948365,3.5717389679770064,H02,stem,7.5,3,100,-,2,7.5 sal,2
16,1.0,2.7257633365747087,A03,stem,10.0,3,0,-,1,10.0 sal,2
17,0.981446560009733,3.7063374508025038,B03,stem,10.0,3,10,-,1,10.0 sal,2
18,0.8795539648716304,4.160503975816567,C03,stem,10.0,3,30,-,1,10.0 sal,2
19,0.36744339156810646,3.2569670218811098,D03,stem,10.0,3,100,-,1,10.0 sal,2
20,1.0,2.737394627248617,E03,stem,10.0,3,0,-,2,10.0 sal,2
21,0.985975634435585,3.652817068457785,F03,stem,10.0,3,10,-,2,10.0 sal,2
22,0.8529572033365469,4.15076963699457,G03,stem,10.0,3,30,-,2,10.0 sal,2
23,0.5689208294062206,3.494891359930886,H03,stem,10.0,3,100,-,2,10.0 sal,2
24,0.0,,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,2
25,0.3777456647398844,3.197084057172575,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,2
26,0.21180505040008313,3.222208384757651,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,2
27,0.11576587693320171,3.0331087236737577,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,2
28,0.0,,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,2
29,0.353075929859636,3.1827989331234363,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,2
30,0.2465560392874419,3.2791898697270523,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,2
31,0.12904163638251478,2.7070550040733923,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,2
32,1.0,2.617155712655628,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,2
33,0.9058004734254558,3.660574388046602,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,2
34,0.7928890694839497,3.901233979208013,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,2
35,0.6956127516640221,3.604970180768441,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,2
36,1.0,2.6103013132316564,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,2
37,0.909290105297328,3.627727726285807,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,2
38,0.8240199154000283,3.9928185058535117,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,2
39,0.7099577901149855,3.558145152844215,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,2
40,1.0,2.6693582526586286,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,2
41,0.9808173309665967,3.68073016392946,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,2
42,1.0,4.1627554957305986,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,2
43,0.8445983028665512,3.6645917533287458,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,2
44,1.0,2.7086775524450735,E08,stem,10.0,3,0,+,2,10.0 sal +chlor,2
45,0.9834355580663384,3.692094742024159,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,2
46,0.9095836412909584,4.220060931818613,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,2
47,0.9288345818494412,3.8547798266708266,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,2
48,1.0,2.7249120348541473,A11,ctrl,0.0,0,0,-,1,naive,2
49,0.975711353483318,3.707923047176238,B11,ctrl,0.0,0,10,-,1,naive,2
50,0.02470597843841882,2.554681105335096,C11,ctrl,0.0,0,30,-,1,naive,2
51,0.03153356600287415,2.1995559724446623,D11,ctrl,0.0,0,100,-,1,naive,2
52,1.0,2.7414824148088344,E11,ctrl,0.0,0,0,-,2,naive,2
53,0.9822609256571521,3.7122836644161956,F11,ctrl,0.0,0,10,-,2,naive,2
54,0.02614150555327026,2.5497491839394235,G11,ctrl,0.0,0,30,-,2,naive,2
55,0.026033345622874935,2.0961461433953694,H11,ctrl,0.0,0,100,-,2,naive,2
0,0.0,,A01,stem,5.0,3,0,-,1,5.0 sal,3
1,0.5652648825778264,3.4574989072355757,B01,stem,5.0,3,10,-,1,5.0 sal,3
2,0.268567205152571,3.323037640391474,C01,stem,5.0,3,30,-,1,5.0 sal,3
3,0.10747711824135864,3.0735253103007936,D01,stem,5.0,3,100,-,1,5.0 sal,3
4,0.6170388069539425,2.632238440607963,E01,stem,5.0,3,0,-,2,5.0 sal,3
5,0.47092080648513823,3.364536445619395,F01,stem,5.0,3,10,-,2,5.0 sal,3
6,0.13307472098908849,3.006823667784537,G01,stem,5.0,3,30,-,2,5.0 sal,3
7,0.18844984802431614,3.176164551490866,H01,stem,5.0,3,100,-,2,5.0 sal,3
8,1.0,2.724681774153277,A02,stem,7.5,3,0,-,1,7.5 sal,3
9,0.9667120531631679,3.7250227770137947,B02,stem,7.5,3,10,-,1,7.5 sal,3
10,0.5073929299796057,3.782634243073719,C02,stem,7.5,3,30,-,1,7.5 sal,3
11,0.408945205774154,3.2522349276829994,D02,stem,7.5,3,100,-,1,7.5 sal,3
12,1.0,2.7365999297294694,E02,stem,7.5,3,0,-,2,7.5 sal,3
13,0.9715745509103443,3.6532298092857842,F02,stem,7.5,3,10,-,2,7.5 sal,3
14,0.4476344520824909,3.744577411573985,G02,stem,7.5,3,30,-,2,7.5 sal,3
15,0.4576685322863587,3.3021932562335308,H02,stem,7.5,3,100,-,2,7.5 sal,3
16,1.0,2.698473561223427,A03,stem,10.0,3,0,-,1,10.0 sal,3
17,0.9804945166120351,3.671971529249789,B03,stem,10.0,3,10,-,1,10.0 sal,3
18,0.03820443303876322,2.6968706483909908,C03,stem,10.0,3,30,-,1,10.0 sal,3
19,0.05313476359091856,2.518905561226137,D03,stem,10.0,3,100,-,1,10.0 sal,3
20,1.0,2.742943145502796,E03,stem,10.0,3,0,-,2,10.0 sal,3
21,0.9797559398739292,3.6553378578266327,F03,stem,10.0,3,10,-,2,10.0 sal,3
22,0.03340702530090887,2.6653742777867824,G03,stem,10.0,3,30,-,2,10.0 sal,3
23,0.054328096638918445,2.5665019516822047,H03,stem,10.0,3,100,-,2,10.0 sal,3
24,0.4395923422051688,2.446909430594199,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,3
25,0.6235778212118095,3.455022874544158,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,3
26,0.19679491176653988,3.2092540083738297,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,3
27,0.06446563256012523,2.575487033352005,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,3
28,0.0,,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,3
29,0.4284477962539408,3.2779559011562607,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,3
30,0.33052692102345066,3.4550485097509833,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,3
31,0.10352657202471055,2.970119681285701,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,3
32,1.0,2.718024122121511,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,3
33,0.9722395696931848,3.661163495933175,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,3
34,0.6841329791649373,3.978204578766884,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,3
35,0.577186928321969,3.398753790596332,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,3
36,1.0,2.711382739374391,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,3
37,0.9649564726745123,3.6449368781858515,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,3
38,0.7362400083047856,3.984095720612454,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,3
39,0.6133496994836197,3.400599794902715,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,3
40,1.0,2.715021883489471,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,3
41,0.9857838991583102,3.662214596232861,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,3
42,0.26232655554585915,3.1260971680766074,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,3
43,0.09873553941350552,3.0622572671393042,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,3
44,1.0,2.740677896199292,E08,stem,10.0,3,0,+,2,10.0 sal +chlor,3
45,0.9884361676454027,3.6646931407094883,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,3
46,0.03818944468791085,2.39629781556536,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,3
47,0.06798599610071068,2.6010714030366935,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,3
48,1.0,2.6986954482518146,A11,ctrl,0.0,0,0,-,1,naive,3
49,0.9763882727749325,3.658955888751314,B11,ctrl,0.0,0,10,-,1,naive,3
50,0.0,,C11,ctrl,0.0,0,30,-,1,naive,3
51,0.01194918537550213,1.7440559558121598,D11,ctrl,0.0,0,100,-,1,naive,3
52,1.0,2.7215591894039997,E11,ctrl,0.0,0,0,-,2,naive,3
53,0.976780248106976,3.679504436904373,F11,ctrl,0.0,0,10,-,2,naive,3
54,0.0,,G11,ctrl,0.0,0,30,-,2,naive,3
55,0.0,,H11,ctrl,0.0,0,100,-,2,naive,3
0,1.0,2.5940319900263638,A01,stem,5.0,3,0,-,1,5.0 sal,4
1,0.6672097317258607,3.499142027697323,B01,stem,5.0,3,10,-,1,5.0 sal,4
2,0.23146121519873927,3.2301372852772214,C01,stem,5.0,3,30,-,1,5.0 sal,4
3,0.08752190158535812,2.906592824176936,D01,stem,5.0,3,100,-,1,5.0 sal,4
4,1.0,2.5629998559972456,E01,stem,5.0,3,0,-,2,5.0 sal,4
5,0.6345697297061834,3.4578481059496156,F01,stem,5.0,3,10,-,2,5.0 sal,4
6,0.2693154327310769,3.1862643190697373,G01,stem,5.0,3,30,-,2,5.0 sal,4
7,0.1676487276853913,3.1411629719420473,H01,stem,5.0,3,100,-,2,5.0 sal,4
8,1.0,2.6884313974405756,A02,stem,7.5,3,0,-,1,7.5 sal,4
9,0.9866696515792901,3.666767922033736,B02,stem,7.5,3,10,-,1,7.5 sal,4
10,0.03354510800508259,2.62424313816827,C02,stem,7.5,3,30,-,1,7.5 sal,4
11,0.16989432727594286,3.262137672058534,D02,stem,7.5,3,100,-,1,7.5 sal,4
12,1.0,2.7272429266122113,E02,stem,7.5,3,0,-,2,7.5 sal,4
13,0.9896363599488917,3.6742705456689384,F02,stem,7.5,3,10,-,2,7.5 sal,4
14,0.05028471122147536,2.6393804019152816,G02,stem,7.5,3,30,-,2,7.5 sal,4
15,0.5153969300310763,3.431181377207532,H02,stem,7.5,3,100,-,2,7.5 sal,4
16,0.0,,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,4
17,0.6932098498290561,3.4794170063298786,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,4
18,0.23836231071228267,3.3432501058717214,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,4
19,0.08719311024465487,2.893651145280298,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,4
20,0.0,,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,4
21,0.49043482028728036,3.3031934503710265,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,4
22,0.2663895876626928,3.346681517209015,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,4
23,0.1945265462506842,3.1084209914826113,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,4
24,1.0,2.6448292818972328,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,4
